y,x,Fi
0.003,0.011,5
0.003,0.010,5
0.003,0.009,5
0.002,0.008,5
0.002,0.007,5
0.002,0.006,5
0.001,0.004,5
0.001,0.003,5
0.000,0.002,5
0.000,0.001,5
0.000,0.000,5
0.002,0.011,10
0.002,0.010,10
0.002,0.009,10
0.001,0.008,10
0.001,0.007,10
0.001,0.006,10
0.001,0.004,10
0.000,0.003,10
0.000,0.002,10
0.000,0.001,10
0.000,0.000,10
0.001,0.011,13
0.001,0.010,13
0.001,0.009,13
0.001,0.008,13
0.001,0.007,13
0.000,0.006,13
0.000,0.004,13
0.000,0.003,13
0.000,0.002,13
0.000,0.001,13
0.000,0.000,13
-0.001,0.011,20
-0.001,0.010,20
-0.001,0.009,20
-0.001,0.008,20
-0.001,0.007,20
-0.001,0.006,20
0.000,0.005,20
0.000,0.003,20
0.000,0.002,20
0.000,0.001,20
0.000,0.000,20
-0.004,0.011,30
-0.004,0.010,30
-0.003,0.009,30
-0.003,0.008,30
-0.002,0.007,30
-0.002,0.006,30
-0.002,0.005,30
-0.001,0.003,30
-0.001,0.002,30
0.000,0.001,30
0.000,0.000,30
-0.007,0.011,40
-0.006,0.010,40
-0.006,0.009,40
-0.005,0.008,40
-0.004,0.007,40
-0.004,0.006,40
-0.003,0.005,40
-0.002,0.003,40
-0.001,0.002,40
-0.001,0.001,40
0.000,0.000,40
-0.007,0.009,45
-0.006,0.008,45
-0.005,0.007,45
-0.004,0.006,45
-0.003,0.004,45
-0.003,0.004,45
-0.002,0.002,45
-0.001,0.001,45
0.000,0.000,45
-0.007,0.008,50
-0.006,0.007,50
-0.005,0.006,50
-0.004,0.004,50
-0.003,0.003,50
-0.002,0.002,50
-0.001,0.001,50
0.000,0.000,50
