y,x,fi
0.0033,0.0112,5
0.0005,0.0022,5
0.0001,0.0011,5
-0.0002,0.0000,5
0.0020,0.0112,10
0.0002,0.0022,10
-0.0000,0.0011,10
-0.0002,0.0000,10
0.0011,0.0112,13
0.0000,0.0022,13
-0.0001,0.0011,13
-0.0002,0.0000,13
-0.0010,0.0113,20
-0.0003,0.0023,20
-0.0003,0.0011,20
-0.0002,0.0000,20
-0.0040,0.0112,30
-0.0009,0.0023,30
-0.0005,0.0012,30
-0.0002,0.0000,30
-0.0070,0.0113,40
-0.0015,0.0023,40
-0.0008,0.0012,40
-0.0002,0.0000,40
-0.0070,0.0093,45
-0.0019,0.0023,45
-0.0011,0.0012,45
-0.0002,0.0000,45
-0.0070,0.0079,50
-0.0060,0.0067,50
-0.0050,0.0055,50
-0.0040,0.0044,50
-0.0031,0.0034,50
-0.0021,0.0022,50
-0.0012,0.0012,50
-0.0002,0.0000,50
